model,table,country,category,tuned_hold_mase,default_hold_mase
catboost,DFF,china,F2B,0.08911843338701342,0.0698595007352849
catboost,DFF,china,F3,0.2210645361795691,0.2528741187001392
catboost,DFF,china,F4,0.17482106273299838,0.1571955360472115
catboost,DFF,india,F1,0.07075504441285892,0.0772109392763019
catboost,DFF,india,F2A,0.07740331431634682,0.0999770573119697
catboost,DFF,india,F2B,0.08911843338701342,0.0698595007352849
catboost,DFF,india,F3,0.2210645361795691,0.2528741187001392
catboost,DFF,india,F4,0.16622007983605952,0.1830727931294913
catboost,DFF,mexico,F1,0.12474266973984878,0.1237338713616286
catboost,DFF,mexico,F2A,0.07740331431634682,0.0999770573119697
catboost,DFF,mexico,F2B,0.22115789904091773,0.2329850822065308
catboost,DFF,mexico,F3,0.02918555032427533,0.0109354836165388
catboost,DFF,mexico,F4,0.03275180773996499,0.0074030138411709
catboost,DFF,philippines,F1,0.0028489854848268302,0.0005783373821706
catboost,DFF,philippines,F2A,0.07740331431634682,0.0999770573119697
catboost,DFF,philippines,F2B,0.0026076818222898835,0.0006307281535126
catboost,DFF,philippines,F3,0.10005254125924916,0.102713835522056
catboost,DFF,philippines,F4,0.10626922765695573,0.1537822289188735
lightgbm,FAD,all_chargeability,F1,0.13453603456883015,0.1639358268759187
lightgbm,FAD,all_chargeability,F2A,0.11949648404491847,0.254752461754252
lightgbm,FAD,all_chargeability,F2B,0.07124369221547998,0.0845139664846521
lightgbm,FAD,all_chargeability,F3,0.15246145886987159,0.1796093648978174
lightgbm,FAD,all_chargeability,F4,0.07201598714582363,0.1025587893870336
lightgbm,FAD,china,F1,0.13989923693738143,0.1394649528726787
lightgbm,FAD,china,F2A,0.12082764260341809,0.2313052230070924
lightgbm,FAD,china,F2B,0.07069124184480603,0.0742161838973196
lightgbm,FAD,china,F3,0.15075558607517794,0.178402589633173
lightgbm,FAD,china,F4,0.0758092008057471,0.1012412602171904
lightgbm,FAD,india,F1,0.13833680944448623,0.1591287201748713
lightgbm,FAD,india,F2A,0.12094444008120983,0.2519338492938546
lightgbm,FAD,india,F2B,0.07130620099909078,0.0830010808101778
lightgbm,FAD,india,F3,0.14994445147664506,0.1792236819267482
lightgbm,FAD,india,F4,0.051867411158186695,0.1614351010030811
lightgbm,FAD,mexico,F1,0.26467694687861065,0.4957949528608869
lightgbm,FAD,mexico,F2A,0.11272804585014747,0.1758346381023869
lightgbm,FAD,mexico,F2B,0.36903172414222485,0.3845450997137989
lightgbm,FAD,mexico,F3,0.17875537852542348,0.4426488910760836
lightgbm,FAD,mexico,F4,0.06524041639810454,0.1780983796282174
lightgbm,FAD,philippines,F1,0.07048436581312877,0.0885541030626659
lightgbm,FAD,philippines,F2A,0.12179861907017428,0.2290148757741207
lightgbm,FAD,philippines,F2B,0.12380531859545037,0.1168978135810958
lightgbm,FAD,philippines,F3,0.1557625644145392,0.2350494953395255
lightgbm,FAD,philippines,F4,0.161734970334765,0.1906393669554964
lightgbm,DFF,all_chargeability,F1,0.0774301608036341,0.0804203224146141
lightgbm,DFF,all_chargeability,F2A,0.0842898718131596,0.1202561214663661
lightgbm,DFF,all_chargeability,F2B,0.0903941502173311,0.1119493881356078
lightgbm,DFF,all_chargeability,F3,0.20961717282726158,0.2216630045414516
lightgbm,DFF,all_chargeability,F4,0.16275267439008198,0.1773170600043592
lightgbm,DFF,china,F1,0.0774301608036341,0.0804203224146141
lightgbm,DFF,china,F2A,0.0842898718131596,0.1202561214663661
lightgbm,DFF,china,F2B,0.0903941502173311,0.1119493881356078
lightgbm,DFF,china,F3,0.20961717282726158,0.2216630045414516
lightgbm,DFF,china,F4,0.16275267439008198,0.1773170600043592
lightgbm,DFF,india,F1,0.0774301608036341,0.0804203224146141
lightgbm,DFF,india,F2A,0.0842898718131596,0.1202561214663661
lightgbm,DFF,india,F2B,0.0903941502173311,0.1119493881356078
lightgbm,DFF,india,F3,0.20961717282726158,0.2216630045414516
lightgbm,DFF,india,F4,0.14817204571544312,0.1673843635126494
lightgbm,DFF,mexico,F1,0.13674756463593654,0.1573859128905465
lightgbm,DFF,mexico,F2A,0.0842898718131596,0.1202561214663661
lightgbm,DFF,mexico,F2B,0.23546809833275018,0.2656848216438148
lightgbm,DFF,mexico,F3,0.029408383187133104,0.0387802136290212
lightgbm,DFF,mexico,F4,0.054091440306017355,0.0696886565716836
