unique_id,ds,y,BiTCN,BiTCN-lo-95,BiTCN-lo-90,BiTCN-lo-80,BiTCN-lo-50,BiTCN-hi-50,BiTCN-hi-80,BiTCN-hi-90,BiTCN-hi-95
china/family/F4,2025-01-01,11900.0,11899.71798658371,11868.211464762688,11876.429635286331,11883.161682319642,11893.646519958973,11905.789453208447,11916.274290847778,11923.006337881088,11931.224508404732
china/family/F4,2025-02-01,11900.0,11898.846702337265,11867.434071695805,11872.123802256585,11883.75427145958,11896.718613445759,11900.974791228771,11913.93913321495,11925.569602417945,11930.259332978725
china/family/F4,2025-03-01,11900.0,11899.289076089859,11874.078528916836,11891.245890450478,11894.63501753807,11898.232222020626,11900.345930159092,11903.943134641648,11907.33226172924,11924.499623262882
china/family/F4,2025-04-01,11900.0,11899.091269254684,11892.67994801998,11893.601504898072,11895.541441679,11898.176325082779,11900.00621342659,11902.641096830368,11904.581033611297,11905.502590489388
china/family/F4,2025-05-01,12053.0,11899.699449062347,11889.503083455562,11895.769322371483,11898.357559418679,11899.245290398598,11900.153607726097,11901.041338706016,11903.629575753212,11909.895814669133
china/family/F4,2025-06-01,12053.0,12052.572979450226,11970.586560195685,12042.013335835934,12051.030206227302,12051.780727744102,12053.36523115635,12054.11575267315,12063.132623064517,12134.559398704767
china/family/F4,2025-07-01,12053.0,12062.83654499054,11981.676277846098,12053.884193599224,12061.729527783395,12062.298656344414,12063.374433636665,12063.943562197685,12071.788896381855,12143.996812134981
china/family/F4,2025-08-01,12053.0,12052.457758426666,11965.521218723059,12032.154062879086,12050.339259696008,12051.837755799294,12053.077761054039,12054.576257157325,12072.761453974246,12139.394298130273
china/family/F4,2025-09-01,12053.0,12053.078565120697,11967.069311249255,12034.21426126957,12051.117926001549,12052.724165916443,12053.432964324951,12055.039204239845,12071.942868971824,12139.087818992137
china/family/F4,2025-10-01,12060.0,12052.515416622162,11966.07447527051,12032.970386707782,12049.82835650444,12051.880600452423,12053.1502327919,12055.202476739883,12072.060446536541,12138.956357973813
china/family/F4,2025-11-01,12060.0,12062.399436950684,11977.127324086428,12045.846233570575,12055.983646154404,12061.090023934841,12063.708849966526,12068.815227746964,12078.952640330792,12147.671549814939
china/family/F4,2025-12-01,12060.0,12062.27309513092,11977.260662782192,12045.295664763451,12054.186531019212,12061.673488259315,12062.872702002525,12070.35965924263,12079.25052549839,12147.285527479647
china/family/F4,2026-01-01,12060.0,12060.43566083908,11975.793208378553,12044.91952303648,12054.49985356331,12059.302450597286,12061.568871080875,12066.371468114852,12075.951798641681,12145.078113299607
china/family/F4,2026-02-01,12060.0,12059.939030647278,11976.263503962755,12045.543675529956,12056.002743721008,12059.412088036537,12060.465973258018,12063.875317573547,12074.3343857646,12143.6145573318
china/family/F4,2026-03-01,12060.0,12059.854145050049,11975.830283898114,12045.045095717907,12056.558282136917,12059.169843912125,12060.538446187973,12063.15000796318,12074.66319438219,12143.878006201981
