EB_level,final_action_dates,visa_bulletin_date,table_type,raw_value,status,visa_wait_time
EB2,2016-03-01,2016-03-01 00:00:00,dates_for_filing,C,C,0.0
EB3,2016-03-01,2016-03-01 00:00:00,dates_for_filing,C,C,0.0
EB3_OW,2016-03-01,2016-03-01 00:00:00,dates_for_filing,C,C,0.0
EB4,2016-03-01,2016-03-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2016-03-01,2016-03-01 00:00:00,dates_for_filing,C,C,0.0
EB5_NONRC,2016-03-01,2016-03-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RC,2016-03-01,2016-03-01 00:00:00,dates_for_filing,C,C,0.0
EB1,2016-03-01,2016-03-01 00:00:00,final_action,C,C,0.0
EB2,2016-03-01,2016-03-01 00:00:00,final_action,C,C,0.0
EB3,2016-01-01,2016-03-01 00:00:00,final_action,01JAN16,F,0.16427104722792607
EB3_OW,2016-01-01,2016-03-01 00:00:00,final_action,01JAN16,F,0.16427104722792607
EB4,2016-03-01,2016-03-01 00:00:00,final_action,C,C,0.0
EB4_RW,2016-03-01,2016-03-01 00:00:00,final_action,C,C,0.0
EB5_NONRC,2016-03-01,2016-03-01 00:00:00,final_action,C,C,0.0
EB5_RC,2016-03-01,2016-03-01 00:00:00,final_action,C,C,0.0
EB1,2016-02-01,2016-02-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2016-02-01,2016-02-01 00:00:00,dates_for_filing,C,C,0.0
EB3,2016-01-01,2016-02-01 00:00:00,dates_for_filing,01JAN16,F,0.08487337440109514
EB3_OW,2016-01-01,2016-02-01 00:00:00,dates_for_filing,01JAN16,F,0.08487337440109514
EB4,2016-02-01,2016-02-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2016-02-01,2016-02-01 00:00:00,dates_for_filing,C,C,0.0
EB5_NONRC,2016-02-01,2016-02-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RC,2016-02-01,2016-02-01 00:00:00,dates_for_filing,C,C,0.0
EB1,2016-02-01,2016-02-01 00:00:00,final_action,C,C,0.0
EB2,2016-02-01,2016-02-01 00:00:00,final_action,C,C,0.0
EB3,2015-10-01,2016-02-01 00:00:00,final_action,01OCT15,F,0.33675564681724846
EB3_OW,2015-10-01,2016-02-01 00:00:00,final_action,01OCT15,F,0.33675564681724846
EB4,2016-02-01,2016-02-01 00:00:00,final_action,C,C,0.0
EB4_RW,2016-02-01,2016-02-01 00:00:00,final_action,C,C,0.0
EB5_NONRC,2016-02-01,2016-02-01 00:00:00,final_action,C,C,0.0
EB5_RC,2016-02-01,2016-02-01 00:00:00,final_action,C,C,0.0
EB1,2016-01-01,2016-01-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2016-01-01,2016-01-01 00:00:00,dates_for_filing,C,C,0.0
EB3,2016-01-01,2016-01-01 00:00:00,dates_for_filing,01JAN16,F,0.0
EB3_OW,2016-01-01,2016-01-01 00:00:00,dates_for_filing,01JAN16,F,0.0
EB4,2016-01-01,2016-01-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2016-01-01,2016-01-01 00:00:00,dates_for_filing,C,C,0.0
EB5_NONRC,2016-01-01,2016-01-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RC,2016-01-01,2016-01-01 00:00:00,dates_for_filing,C,C,0.0
EB1,2016-01-01,2016-01-01 00:00:00,final_action,C,C,0.0
EB2,2016-01-01,2016-01-01 00:00:00,final_action,C,C,0.0
EB3,2015-10-01,2016-01-01 00:00:00,final_action,01OCT15,F,0.2518822724161533
EB3_OW,2015-10-01,2016-01-01 00:00:00,final_action,01OCT15,F,0.2518822724161533
EB4,2016-01-01,2016-01-01 00:00:00,final_action,C,C,0.0
EB4_RW,,2016-01-01 00:00:00,final_action,U,U,
EB5_NONRC,2016-01-01,2016-01-01 00:00:00,final_action,C,C,0.0
EB5_RC,,2016-01-01 00:00:00,final_action,U,U,
