run_id,model,country,category,table,sel_mase,sel_smape,sel_mae,sel_rmse,hold_mase,hold_smape,hold_mae,hold_rmse,hold_msis,hold_interval_score,hold_coverage,sel_mase1,hold_mase1,secs
20260704T100200-ea94a2a,lightgbm,india,F3,FAD,0.07921960095577474,0.1778390475395318,18.789998523887775,44.61185855728415,0.1516445644545022,0.2719063936789833,35.9683854485257,62.02607924799394,2.1077029562192746,499.92344013779257,0.8333333333333334,0.7882219451776091,1.5088383698962058,45.7
20260704T100200-ea94a2a,catboost,india,F3,FAD,0.08001527531515878,0.17782173328893472,18.978723534591477,43.89540441503131,0.15247206099268365,0.27415821161574094,36.16465832220039,60.85518757295926,2.0477907186900626,485.7129311077715,0.9166666666666666,0.7961387736356541,1.517071823777364,24.7
20260704T100200-ea94a2a,xgboost,india,F4,FAD,0.09628484330385158,0.33216359054688444,32.63205478541659,117.36659238491033,0.060579971079196944,0.1780104242992234,20.53125774860382,27.606353149408452,0.5518699207248725,187.03514353434244,0.9583333333333334,0.7495657075897442,0.4716076521456837,69.4
20260704T100200-ea94a2a,lightgbm,india,F4,FAD,0.09691334897829966,0.3349516394133502,32.845062678432654,117.12071965587492,0.05982739645462042,0.17601885911484638,20.27620144340949,28.09358899272129,0.552016944018899,187.08497144100753,0.9583333333333334,0.7544585472561613,0.46574895090436147,43.2
20260704T100200-ea94a2a,catboost,india,F4,FAD,0.10213384677578204,0.3516916731076278,34.614350182977795,118.77272323937319,0.06112922692179052,0.17964173377098588,20.71740695061438,28.80445382580926,0.5902136217529287,200.0302703859755,0.9583333333333334,0.7950994829555814,0.4758835415813887,29.6
20260704T100200-ea94a2a,xgboost,mexico,F1,FAD,0.11946594982113705,0.5834439507436049,41.774682667812606,110.33422297284083,0.24510697959429054,0.7816061163134628,85.70865847170353,161.66829903549495,3.852406081475394,1347.1038551330566,0.8333333333333334,0.48682832070341703,0.9988203286980692,72.8
20260704T100200-ea94a2a,lightgbm,mexico,F1,FAD,0.1110755010463469,0.5289892595668424,38.84072252659938,114.31643282249654,0.23962314375687788,0.7619984318976485,83.79107859012827,154.26508915546293,3.224979197030479,1127.7061185044793,0.9583333333333334,0.4526369206174954,0.9764734876463902,44.3
20260704T100200-ea94a2a,catboost,mexico,F1,FAD,0.1566151772691031,0.7800269857217302,54.76497145149244,116.06262613171664,0.26682171857528914,0.8499215245707314,93.30183737752343,163.06161698450882,3.421637107830667,1196.4731758132166,0.9583333333333334,0.6382128452562261,1.0873087216540527,26.1
20260704T100200-ea94a2a,xgboost,mexico,F2A,FAD,0.12909850463485997,0.557701634522444,70.83793277669507,196.74601465291943,0.10866460762158486,0.343599819995305,59.625602881113686,96.73653871261169,1.4370114041351165,788.505781173706,1.0,0.8951583277159291,0.7534713799789399,73.0
20260704T100200-ea94a2a,lightgbm,mexico,F2A,FAD,0.1319204044799179,0.5724339027669608,72.38634382988401,198.84128616893568,0.10185798771100588,0.32209793925224767,55.890727058765,98.44155480661858,1.3210150200684465,724.8571426391612,1.0,0.9147251472807919,0.7062748418487332,45.9
