number,value,datetime_start,datetime_complete,duration,params_decoder_output_dim,params_dropout,params_hidden_size,params_input_size,params_learning_rate,params_scaler_type,user_attrs_ALL_PARAMS,user_attrs_METRICS,state
22,63.78566360473633,2026-07-04 04:35:41.702998,2026-07-04 04:36:08.808185,0 days 00:00:27.105187,8,0.07294032750153559,32,36,0.00013757994496438192,robust,"{'input_size': 36, 'learning_rate': 0.00013757994496438192, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 32, 'decoder_output_dim': 8, 'dropout': 0.07294032750153559, 'h': 1}","{'loss': 63.78566360473633, 'train_loss': 4.310530662536621}",COMPLETE
23,62.40152359008789,2026-07-04 04:36:08.808418,2026-07-04 04:36:19.486892,0 days 00:00:10.678474,8,0.041238206302115804,64,18,0.0008723788560076116,robust,"{'input_size': 18, 'learning_rate': 0.0008723788560076116, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 64, 'decoder_output_dim': 8, 'dropout': 0.041238206302115804, 'h': 1}","{'loss': 62.40152359008789, 'train_loss': 4.020619869232178}",COMPLETE
24,61.84261703491211,2026-07-04 04:36:19.487155,2026-07-04 04:36:59.205915,0 days 00:00:39.718760,8,0.10095078424446043,128,18,0.00013435508989901896,robust,"{'input_size': 18, 'learning_rate': 0.00013435508989901896, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 8, 'dropout': 0.10095078424446043, 'h': 1}","{'loss': 61.84261703491211, 'train_loss': 6.2939043045043945}",COMPLETE
25,84.19700622558594,2026-07-04 04:36:59.206154,2026-07-04 04:37:04.295190,0 days 00:00:05.089036,32,0.21997674225134295,64,24,0.00546096040140942,standard,"{'input_size': 24, 'learning_rate': 0.00546096040140942, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 64, 'decoder_output_dim': 32, 'dropout': 0.21997674225134295, 'h': 1}","{'loss': 84.19700622558594, 'train_loss': 1.9210387468338013}",COMPLETE
26,80.50082397460938,2026-07-04 04:37:04.295505,2026-07-04 04:37:36.951507,0 days 00:00:32.656002,32,0.005962325830790677,128,18,0.00010373728987836046,standard,"{'input_size': 18, 'learning_rate': 0.00010373728987836046, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 32, 'dropout': 0.005962325830790677, 'h': 1}","{'loss': 80.50082397460938, 'train_loss': 3.424220085144043}",COMPLETE
27,63.17786407470703,2026-07-04 04:37:36.951684,2026-07-04 04:38:14.805670,0 days 00:00:37.853986,8,0.2126440550818318,64,18,0.00011550903390911101,robust,"{'input_size': 18, 'learning_rate': 0.00011550903390911101, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 64, 'decoder_output_dim': 8, 'dropout': 0.2126440550818318, 'h': 1}","{'loss': 63.17786407470703, 'train_loss': 6.380102157592773}",COMPLETE
28,65.14275360107422,2026-07-04 04:38:14.805868,2026-07-04 04:38:54.323604,0 days 00:00:39.517736,16,0.0015690680601526848,128,18,0.00011601122416435574,robust,"{'input_size': 18, 'learning_rate': 0.00011601122416435574, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 16, 'dropout': 0.0015690680601526848, 'h': 1}","{'loss': 65.14275360107422, 'train_loss': 6.351505279541016}",COMPLETE
29,64.38789367675781,2026-07-04 04:38:54.324024,2026-07-04 04:39:17.522888,0 days 00:00:23.198864,8,0.095410067103087,128,36,0.0002750228301157471,robust,"{'input_size': 36, 'learning_rate': 0.0002750228301157471, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 8, 'dropout': 0.095410067103087, 'h': 1}","{'loss': 64.38789367675781, 'train_loss': 3.2060914039611816}",COMPLETE
30,62.14291763305664,2026-07-04 04:39:17.523086,2026-07-04 04:39:45.652050,0 days 00:00:28.128964,32,0.05311533753533659,32,18,0.00021066744681872465,robust,"{'input_size': 18, 'learning_rate': 0.00021066744681872465, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 32, 'decoder_output_dim': 32, 'dropout': 0.05311533753533659, 'h': 1}","{'loss': 62.14291763305664, 'train_loss': 4.183387279510498}",COMPLETE
31,61.81902313232422,2026-07-04 04:39:45.652276,2026-07-04 04:40:17.054115,0 days 00:00:31.401839,8,0.14583242465181379,128,18,0.00013357866127220317,robust,"{'input_size': 18, 'learning_rate': 0.00013357866127220317, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 8, 'dropout': 0.14583242465181379, 'h': 1}","{'loss': 61.81902313232422, 'train_loss': 6.293824672698975}",COMPLETE
32,62.35911560058594,2026-07-04 04:40:17.054608,2026-07-04 04:40:58.092654,0 days 00:00:41.038046,16,0.16404063798421145,128,18,0.00024147600067152324,robust,"{'input_size': 18, 'learning_rate': 0.00024147600067152324, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 16, 'dropout': 0.16404063798421145, 'h': 1}","{'loss': 62.35911560058594, 'train_loss': 6.29444694519043}",COMPLETE
33,75.24207305908203,2026-07-04 04:40:58.092848,2026-07-04 04:41:14.130253,0 days 00:00:16.037405,8,0.1092288316731066,128,18,0.0001470635642743808,standard,"{'input_size': 18, 'learning_rate': 0.0001470635642743808, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 8, 'dropout': 0.1092288316731066, 'h': 1}","{'loss': 75.24207305908203, 'train_loss': 2.105149745941162}",COMPLETE
34,61.87361145019531,2026-07-04 04:41:14.130448,2026-07-04 04:41:47.601666,0 days 00:00:33.471218,8,0.20525453274230795,128,18,0.00017981261370004213,robust,"{'input_size': 18, 'learning_rate': 0.00017981261370004213, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 8, 'dropout': 0.20525453274230795, 'h': 1}","{'loss': 61.87361145019531, 'train_loss': 5.354776859283447}",COMPLETE
35,73.25353240966797,2026-07-04 04:41:47.602000,2026-07-04 04:42:22.110604,0 days 00:00:34.508604,8,0.19109722863877576,32,18,0.00015872559084240825,standard,"{'input_size': 18, 'learning_rate': 0.00015872559084240825, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 32, 'decoder_output_dim': 8, 'dropout': 0.19109722863877576, 'h': 1}","{'loss': 73.25353240966797, 'train_loss': 1.0760393142700195}",COMPLETE
36,61.95668029785156,2026-07-04 04:42:22.110987,2026-07-04 04:42:50.201222,0 days 00:00:28.090235,8,0.20778620142395204,128,18,0.00023756963915616026,robust,"{'input_size': 18, 'learning_rate': 0.00023756963915616026, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 8, 'dropout': 0.20778620142395204, 'h': 1}","{'loss': 61.95668029785156, 'train_loss': 2.8118972778320312}",COMPLETE
37,62.35795593261719,2026-07-04 04:42:50.201548,2026-07-04 04:43:06.715178,0 days 00:00:16.513630,8,0.12307826437525055,32,18,0.00044305993003476897,robust,"{'input_size': 18, 'learning_rate': 0.00044305993003476897, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 32, 'decoder_output_dim': 8, 'dropout': 0.12307826437525055, 'h': 1}","{'loss': 62.35795593261719, 'train_loss': 3.336578369140625}",COMPLETE
38,84.90982818603516,2026-07-04 04:43:06.715379,2026-07-04 04:43:12.654874,0 days 00:00:05.939495,32,0.2563232795862233,128,18,0.008056922979209551,standard,"{'input_size': 18, 'learning_rate': 0.008056922979209551, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 32, 'dropout': 0.2563232795862233, 'h': 1}","{'loss': 84.90982818603516, 'train_loss': 2.1069130897521973}",COMPLETE
39,64.57493591308594,2026-07-04 04:43:12.655227,2026-07-04 04:43:49.182259,0 days 00:00:36.527032,8,0.28566772787700423,128,36,0.0001255477458227972,robust,"{'input_size': 36, 'learning_rate': 0.0001255477458227972, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 8, 'dropout': 0.28566772787700423, 'h': 1}","{'loss': 64.57493591308594, 'train_loss': 6.119729995727539}",COMPLETE
