number,value,datetime_start,datetime_complete,duration,params_depth,params_l2_leaf_reg,params_lags,params_learning_rate,params_n_estimators,params_subsample,state
31,0.09234895725149969,2026-07-06 03:49:31.125144,2026-07-06 03:49:36.146183,0 days 00:00:05.021039,10,1.2424542575754394,18,0.006454480633275089,109,0.7864380503902255,COMPLETE
32,0.09107952071852912,2026-07-06 03:49:36.213229,2026-07-06 03:49:41.135031,0 days 00:00:04.921802,9,1.3117861799948989,12,0.004496464068811085,210,0.8048472127318421,COMPLETE
33,0.09278156460491675,2026-07-06 03:49:41.204619,2026-07-06 03:49:45.757481,0 days 00:00:04.552862,10,3.891066415307229,12,0.0031209022126403394,135,0.5574023575241984,COMPLETE
34,0.09082362066680236,2026-07-06 03:49:45.825012,2026-07-06 03:49:49.242893,0 days 00:00:03.417881,8,1.3674560609412674,12,0.003252736612371113,186,0.7803040199784704,COMPLETE
35,0.10461694815600187,2026-07-06 03:49:49.315834,2026-07-06 03:49:52.809534,0 days 00:00:03.493700,7,1.1312569524703635,12,0.008999385295016099,286,0.7370088762978033,COMPLETE
36,0.09203361357632853,2026-07-06 03:49:52.878745,2026-07-06 03:49:54.807484,0 days 00:00:01.928739,7,1.7697032603433696,12,0.006016067790838803,102,0.9172401408469557,COMPLETE
37,0.0945349954422578,2026-07-06 03:49:54.878769,2026-07-06 03:50:14.334818,0 days 00:00:19.456049,9,17.3258591767148,12,0.011688550132727649,1042,0.8286207831937886,COMPLETE
38,0.10890878317322215,2026-07-06 03:50:14.403914,2026-07-06 03:50:47.153854,0 days 00:00:32.749940,10,1.42133475549771,36,0.07830385274379692,494,0.6703758257925312,COMPLETE
39,0.16666244306578248,2026-07-06 03:50:47.229695,2026-07-06 03:50:49.168215,0 days 00:00:01.938520,5,2.2229319885425833,12,0.014476208542044205,931,0.8560102141670745,PRUNED
40,0.09583143299172234,2026-07-06 03:50:49.241479,2026-07-06 03:50:52.478540,0 days 00:00:03.237061,4,13.205866522323417,12,0.0058803165571604706,649,0.9873628788255031,COMPLETE
41,0.09205579638950073,2026-07-06 03:50:52.545631,2026-07-06 03:50:54.841398,0 days 00:00:02.295767,8,1.6157507123624062,12,0.004869545008618038,106,0.7789327517235811,COMPLETE
42,0.09222752624919724,2026-07-06 03:50:54.906685,2026-07-06 03:50:57.108788,0 days 00:00:02.202103,7,1.029289954049255,12,0.005015799581290056,142,0.5887931312774601,COMPLETE
43,0.09478105454689952,2026-07-06 03:50:57.176637,2026-07-06 03:51:09.989133,0 days 00:00:12.812496,9,1.9215651456139395,18,0.0030680995216409534,477,0.7793195785216946,COMPLETE
44,0.09892782659722277,2026-07-06 03:51:10.061240,2026-07-06 03:51:16.840124,0 days 00:00:06.778884,5,23.781786924642525,36,0.013058025347928404,709,0.5046763593630091,COMPLETE
45,0.10412390538442885,2026-07-06 03:51:16.912137,2026-07-06 03:51:27.672435,0 days 00:00:10.760298,9,1.072533381777655,12,0.00566380444756328,501,0.8048646204287684,COMPLETE
46,0.09112248981078894,2026-07-06 03:51:27.738672,2026-07-06 03:51:33.725712,0 days 00:00:05.987040,10,1.1705529928166263,12,0.0032635320065607155,161,0.6866958384244468,COMPLETE
47,0.09224673044589109,2026-07-06 03:51:33.797304,2026-07-06 03:51:40.753274,0 days 00:00:06.955970,9,1.7109081158064716,12,0.0031361192829512875,312,0.8009495613645341,COMPLETE
48,0.09705368002128037,2026-07-06 03:51:40.820100,2026-07-06 03:51:56.194457,0 days 00:00:15.374357,9,29.6526595324857,36,0.04504194412010609,372,0.7513358455269246,COMPLETE
49,0.09311805246063956,2026-07-06 03:51:56.270157,2026-07-06 03:51:59.736371,0 days 00:00:03.466214,8,1.4765218532691549,18,0.003229883544755475,152,0.8534757152436561,COMPLETE
50,0.18558648923200932,2026-07-06 03:51:59.808708,2026-07-06 03:52:00.484779,0 days 00:00:00.676071,4,2.8727168237687026,12,0.0886090352167596,216,0.6817443390140995,PRUNED
51,0.09197379665358993,2026-07-06 03:52:00.552939,2026-07-06 03:52:06.464630,0 days 00:00:05.911691,10,2.5787531344692125,12,0.003129423534959624,168,0.6967028122704424,COMPLETE
52,0.09305102895404913,2026-07-06 03:52:06.537211,2026-07-06 03:52:10.332870,0 days 00:00:03.795659,7,1.0636615448830773,12,0.0031319866098446928,324,0.7226791434397887,COMPLETE
53,0.09387906314910278,2026-07-06 03:52:10.399918,2026-07-06 03:52:15.348458,0 days 00:00:04.948540,9,1.130298830573131,18,0.003911683350346072,160,0.7260677310476735,COMPLETE
54,0.09537594653437323,2026-07-06 03:52:15.411627,2026-07-06 03:52:23.919669,0 days 00:00:08.508042,6,29.8787258758675,24,0.004847070229215242,864,0.706236067661848,COMPLETE
55,0.09082477501156419,2026-07-06 03:52:23.990863,2026-07-06 03:52:31.164825,0 days 00:00:07.173962,10,1.3247784709232957,12,0.004039870247236151,209,0.6294632369852023,COMPLETE
56,0.09171721534512421,2026-07-06 03:52:31.236879,2026-07-06 03:52:34.307716,0 days 00:00:03.070837,9,1.753379468177715,12,0.004491780068073277,104,0.5751708353832622,COMPLETE
57,0.14956030942059922,2026-07-06 03:52:34.374936,2026-07-06 03:52:39.800880,0 days 00:00:05.425944,5,1.7102918288416324,30,0.04144044059665424,602,0.8967142418713201,COMPLETE
58,0.11853023089302442,2026-07-06 03:52:39.866782,2026-07-06 03:52:42.484347,0 days 00:00:02.617565,3,27.241371274572167,24,0.0868875054577108,514,0.6560633400940094,COMPLETE
59,0.21208198663616273,2026-07-06 03:52:42.543883,2026-07-06 03:52:43.708993,0 days 00:00:01.165110,3,8.049823534942254,12,0.08862576535012079,959,0.9780663110376019,PRUNED
60,0.09797440693913684,2026-07-06 03:52:43.770228,2026-07-06 03:52:54.345588,0 days 00:00:10.575360,10,1.3955886858830238,12,0.007313428103995752,341,0.6892251801381605,COMPLETE
61,0.09186968491029505,2026-07-06 03:52:54.414213,2026-07-06 03:53:02.896484,0 days 00:00:08.482271,10,1.2677816408765188,12,0.00324877800606736,268,0.6444758870638513,COMPLETE
62,0.10753164833000775,2026-07-06 03:53:02.968815,2026-07-06 03:53:53.714628,0 days 00:00:50.745813,9,5.144194902101686,30,0.07418535266754783,1388,0.5400684972020194,COMPLETE
63,0.09199994954329524,2026-07-06 03:53:53.780652,2026-07-06 03:53:57.441615,0 days 00:00:03.660963,9,1.32263381675562,12,0.004312172253878205,140,0.6975333167759273,COMPLETE
64,0.09389844259786731,2026-07-06 03:53:57.506407,2026-07-06 03:54:07.355441,0 days 00:00:09.849034,10,1.1877995897672604,18,0.006758104260331925,243,0.5861744560820761,COMPLETE
65,0.09354496509812434,2026-07-06 03:54:07.417084,2026-07-06 03:54:11.284675,0 days 00:00:03.867591,10,1.183301323528714,12,0.008741363506797963,105,0.7249058028743409,COMPLETE
66,0.0923868740446154,2026-07-06 03:54:11.348721,2026-07-06 03:54:13.788697,0 days 00:00:02.439976,8,1.8892966324296991,12,0.003224601637204623,127,0.7512962418093341,COMPLETE
67,0.09603057627203679,2026-07-06 03:54:13.848591,2026-07-06 03:54:28.233651,0 days 00:00:14.385060,10,1.0204793938225951,12,0.0038295373811571354,473,0.7424908786571588,COMPLETE
68,0.09678109188700212,2026-07-06 03:54:28.300802,2026-07-06 03:54:33.904560,0 days 00:00:05.603758,4,16.29195834569172,12,0.00530375444544588,1405,0.5001309853732159,COMPLETE
69,0.0919510520824645,2026-07-06 03:54:33.970899,2026-07-06 03:54:37.668956,0 days 00:00:03.698057,9,1.1204916829977365,12,0.003059148652166879,142,0.7434845389636319,COMPLETE
