unique_id,ds,y,control-patchtst
china/employment/EB2,2025-11-01,16892.0,16912.22322845459
china/employment/EB2,2025-12-01,16953.0,16903.09307384491
china/employment/EB2,2026-01-01,17045.0,16987.04880142212
china/employment/EB2,2026-02-01,17045.0,17075.87695121765
china/employment/EB2,2026-03-01,17045.0,17055.553064346313
china/employment/EB2,2026-04-01,17045.0,17073.155925750732
china/employment/EB2,2026-05-01,17045.0,17054.172170639038
china/employment/EB2,2026-06-01,17045.0,17054.688161849976
china/employment/EB2,2026-07-01,17045.0,17053.907685279846
china/employment/EB2,2026-08-01,17045.0,17054.419202804565
china/employment/EB2,2026-09-01,17045.0,17056.338832855225
china/employment/EB3,2024-10-01,16527.0,16694.75875377655
china/employment/EB3,2024-11-01,16527.0,16514.041793823242
china/employment/EB3,2024-12-01,16527.0,16533.51002597809
china/employment/EB3,2025-01-01,16588.0,16575.335418701172
china/employment/EB3,2025-02-01,16618.0,16629.820915222168
china/employment/EB3,2025-03-01,16649.0,16640.931467056274
china/employment/EB3,2025-04-01,16741.0,16684.305946350098
china/employment/EB3,2025-05-01,16741.0,16788.835914611816
china/employment/EB3,2025-06-01,16762.0,16751.290665626526
china/employment/EB3,2025-07-01,16771.0,16779.040996551514
china/employment/EB3,2025-08-01,16771.0,16792.212295532227
china/employment/EB3,2025-09-01,16771.0,16783.001096725464
china/employment/EB3,2025-10-01,16861.0,16785.752984046936
china/employment/EB3,2025-11-01,16861.0,16904.5076751709
china/employment/EB3,2025-12-01,16892.0,16882.34359741211
china/employment/EB3,2026-01-01,16922.0,16928.030395507812
china/employment/EB3,2026-02-01,16922.0,16946.147214889526
china/employment/EB3,2026-03-01,16922.0,16933.744032859802
china/employment/EB3,2026-04-01,16967.0,16937.824173927307
china/employment/EB3,2026-05-01,16967.0,16997.05686569214
china/employment/EB3,2026-06-01,17014.0,16973.86166715622
china/employment/EB3,2026-07-01,17157.0,17046.85122680664
china/employment/EB3,2026-08-01,17167.0,17175.947580337524
china/employment/EB3,2026-09-01,17167.0,17183.647409439087
china/employment/EB3_OW,2024-10-01,15341.0,15377.814937591553
china/employment/EB3_OW,2024-11-01,15341.0,15364.521800994873
china/employment/EB3_OW,2024-12-01,15341.0,15369.555561065674
china/employment/EB3_OW,2025-01-01,15341.0,15437.306739807129
china/employment/EB3_OW,2025-02-01,15341.0,15360.6493434906
china/employment/EB3_OW,2025-03-01,15341.0,15355.536808013916
china/employment/EB3_OW,2025-04-01,15431.0,15364.748559951782
china/employment/EB3_OW,2025-05-01,15431.0,15500.140090942383
china/employment/EB3_OW,2025-06-01,15431.0,15460.230075836182
china/employment/EB3_OW,2025-07-01,15461.0,15443.423952102661
china/employment/EB3_OW,2025-08-01,15461.0,15496.624713897705
china/employment/EB3_OW,2025-09-01,15461.0,15480.854063034058
china/employment/EB3_OW,2025-10-01,15675.0,15472.801036834717
china/employment/EB3_OW,2025-11-01,15675.0,15742.956047058105
china/employment/EB3_OW,2025-12-01,15682.0,15698.86862373352
china/employment/EB3_OW,2026-01-01,16047.0,15706.947059631348
china/employment/EB3_OW,2026-02-01,16047.0,16056.192269325256
china/employment/EB3_OW,2026-03-01,16047.0,16066.288877487183
china/employment/EB3_OW,2026-04-01,16102.0,16071.076375961304
china/employment/EB3_OW,2026-05-01,16102.0,16138.497383117676
china/employment/EB3_OW,2026-06-01,16161.0,16111.89752483368
china/employment/EB3_OW,2026-07-01,16161.0,16210.49354171753
china/employment/EB3_OW,2026-08-01,16191.0,16173.574348449707
china/employment/EB3_OW,2026-09-01,16191.0,16225.442691802979
china/family/F1,2024-10-01,14904.0,14904.389202922583
china/family/F1,2024-11-01,14904.0,14908.721165657043
china/family/F1,2024-12-01,14904.0,14907.237911701202
china/family/F1,2025-01-01,14935.0,14909.04533624649
china/family/F1,2025-02-01,14935.0,14951.198316574097
china/family/F1,2025-03-01,14935.0,14937.319395303726
china/family/F1,2025-04-01,15049.0,14938.522135734558
china/family/F1,2025-05-01,15049.0,15075.884754180908
