unique_id,ds,y,control-bitcn
china/employment/EB2,2025-02-01,16548.0,16548.25590211153
china/employment/EB2,2025-03-01,16564.0,16548.261845469475
china/employment/EB2,2025-04-01,16710.0,16564.267623484135
china/employment/EB2,2025-05-01,16710.0,16710.474750250578
china/employment/EB2,2025-06-01,16771.0,16710.523096740246
china/employment/EB2,2025-07-01,16785.0,16771.61300677061
china/employment/EB2,2025-08-01,16785.0,16785.54827529192
china/employment/EB2,2025-09-01,16785.0,16785.626228570938
china/employment/EB2,2025-10-01,16892.0,16785.452551096678
china/employment/EB2,2025-11-01,16892.0,16892.656018555164
china/employment/EB2,2025-12-01,16953.0,16892.392852962017
china/employment/EB2,2026-01-01,17045.0,16953.636597573757
china/employment/EB2,2026-02-01,17045.0,17045.589028537273
china/employment/EB2,2026-03-01,17045.0,17045.522774755955
china/employment/EB2,2026-04-01,17045.0,17045.667393684387
china/employment/EB2,2026-05-01,17045.0,17045.449658036232
china/employment/EB2,2026-06-01,17045.0,17045.480655103922
china/employment/EB2,2026-07-01,17045.0,17045.3689532578
china/employment/EB2,2026-08-01,17045.0,17045.434572547674
china/employment/EB2,2026-09-01,17045.0,17045.451814115047
china/employment/EB3,2024-10-01,16527.0,16680.60203886032
china/employment/EB3,2024-11-01,16527.0,16527.897537112236
china/employment/EB3,2024-12-01,16527.0,16527.642278552055
china/employment/EB3,2025-01-01,16588.0,16527.589516699314
china/employment/EB3,2025-02-01,16618.0,16588.628543138504
china/employment/EB3,2025-03-01,16649.0,16618.645099639893
china/employment/EB3,2025-04-01,16741.0,16649.59937107563
china/employment/EB3,2025-05-01,16741.0,16741.799120783806
china/employment/EB3,2025-06-01,16762.0,16742.04042005539
china/employment/EB3,2025-07-01,16771.0,16763.106205821037
china/employment/EB3,2025-08-01,16771.0,16771.706398665905
china/employment/EB3,2025-09-01,16771.0,16771.843762815
china/employment/EB3,2025-10-01,16861.0,16771.44093081355
china/employment/EB3,2025-11-01,16861.0,16861.9564345479
china/employment/EB3,2025-12-01,16892.0,16861.543304800987
china/employment/EB3,2026-01-01,16922.0,16892.906330883503
china/employment/EB3,2026-02-01,16922.0,16922.84830403328
china/employment/EB3,2026-03-01,16922.0,16922.67635703087
china/employment/EB3,2026-04-01,16967.0,16922.843855798244
china/employment/EB3,2026-05-01,16967.0,16967.401004344225
china/employment/EB3,2026-06-01,17014.0,16967.39905643463
china/employment/EB3,2026-07-01,17157.0,17014.5731036067
china/employment/EB3,2026-08-01,17167.0,17157.71244454384
china/employment/EB3,2026-09-01,17167.0,17167.993622481823
china/employment/EB3_OW,2024-10-01,15341.0,15342.786437988281
china/employment/EB3_OW,2024-11-01,15341.0,15343.620250940323
china/employment/EB3_OW,2024-12-01,15341.0,15342.765113711357
