unique_id,ds,y,control-patchtst
india/family/F2B,2025-12-01,15310.0,15319.386721611023
india/family/F2B,2026-01-01,15310.0,15313.07157254219
india/family/F2B,2026-02-01,15310.0,15315.139876365662
india/family/F2B,2026-03-01,15310.0,15311.963100552559
india/family/F2B,2026-04-01,15482.0,15313.391976356506
india/family/F2B,2026-05-01,15482.0,15494.918201446533
india/family/F2B,2026-06-01,15605.0,15493.478899002075
india/family/F2B,2026-07-01,15666.0,15679.45140838623
india/family/F2B,2026-08-01,15706.0,15712.306324005127
india/family/F2B,2026-09-01,16304.0,15734.821950912476
india/family/F3,2024-10-01,12874.0,12877.424602746964
india/family/F3,2024-11-01,12888.0,12872.170159578323
india/family/F3,2024-12-01,12888.0,12903.18874168396
india/family/F3,2025-01-01,12965.0,12893.866078853607
india/family/F3,2025-02-01,12965.0,13016.276599884033
india/family/F3,2025-03-01,12965.0,12974.423956871033
india/family/F3,2025-04-01,13239.0,12970.597612380981
india/family/F3,2025-05-01,13239.0,13328.846504211426
india/family/F3,2025-06-01,13321.0,13251.271649360657
india/family/F3,2025-07-01,13361.0,13392.267074584961
india/family/F3,2025-08-01,13361.0,13394.114501953125
india/family/F3,2025-09-01,13361.0,13351.74359703064
india/family/F3,2025-10-01,13399.0,13362.92008960247
india/family/F3,2025-11-01,13399.0,13437.508651733398
india/family/F3,2025-12-01,13399.0,13409.144241333008
india/family/F3,2026-01-01,13399.0,13418.820482254028
india/family/F3,2026-02-01,13399.0,13410.49158859253
india/family/F3,2026-03-01,13399.0,13400.432310581207
india/family/F3,2026-04-01,13504.0,13409.53395652771
india/family/F3,2026-05-01,13559.0,13568.911437988281
india/family/F3,2026-06-01,13559.0,13608.118648529053
india/family/F3,2026-07-01,13619.0,13570.41403388977
india/family/F3,2026-08-01,13649.0,13667.80969619751
india/family/F3,2026-09-01,14539.0,13677.727756500244
india/family/F4,2024-10-01,11382.0,11347.457072734833
india/family/F4,2024-11-01,11389.0,11401.846740722656
india/family/F4,2024-12-01,11389.0,11397.354201316833
india/family/F4,2025-01-01,11420.0,11392.062458753586
india/family/F4,2025-02-01,11420.0,11436.111289978027
india/family/F4,2025-03-01,11420.0,11421.600756764412
india/family/F4,2025-04-01,11488.0,11420.441851526499
india/family/F4,2025-05-01,11488.0,11503.775887489319
india/family/F4,2025-06-01,11488.0,11492.42284822464
india/family/F4,2025-07-01,11511.0,11489.456869840622
india/family/F4,2025-08-01,11627.0,11530.501905441284
india/family/F4,2025-09-01,11627.0,11670.98889541626
india/family/F4,2025-10-01,11627.0,11634.130807876587
india/family/F4,2025-11-01,11627.0,11632.065524101257
india/family/F4,2025-12-01,11627.0,11622.809339046478
india/family/F4,2026-01-01,11627.0,11625.471575498581
india/family/F4,2026-02-01,11627.0,11629.0931494236
india/family/F4,2026-03-01,11627.0,11632.378059864044
india/family/F4,2026-04-01,11627.0,11634.15037059784
india/family/F4,2026-05-01,11627.0,11633.022181987762
india/family/F4,2026-06-01,11627.0,11628.499872922897
india/family/F4,2026-07-01,11627.0,11629.908616542816
india/family/F4,2026-08-01,11627.0,11628.580271363258
india/family/F4,2026-09-01,11627.0,11628.225406765938
philippines/family/F1,2024-10-01,13574.0,13573.99983318214
philippines/family/F1,2024-11-01,13574.0,13573.99983318214
philippines/family/F1,2024-12-01,13574.0,13573.99983318214
philippines/family/F1,2025-01-01,13581.0,13573.99983318214
philippines/family/F1,2025-02-01,13581.0,13583.315878629684
philippines/family/F1,2025-03-01,13581.0,13580.979787906632
philippines/family/F1,2025-04-01,13710.0,13580.953776620328
philippines/family/F1,2025-05-01,13710.0,13751.812789916992
philippines/family/F1,2025-06-01,13710.0,13709.518610656261
philippines/family/F1,2025-07-01,13710.0,13709.084520041943
philippines/family/F1,2025-08-01,13710.0,13704.434169769287
philippines/family/F1,2025-09-01,13710.0,13702.244830608368
philippines/family/F1,2025-10-01,13901.0,13707.657367229462
philippines/family/F1,2025-11-01,13901.0,13927.775051116943
philippines/family/F1,2025-12-01,13901.0,13904.884017467499
philippines/family/F1,2026-01-01,13939.0,13905.48251247406
philippines/family/F1,2026-02-01,13939.0,13969.167892456055
philippines/family/F1,2026-03-01,13939.0,13932.652503967285
philippines/family/F1,2026-04-01,14000.0,13938.901050888002
philippines/family/F1,2026-05-01,14000.0,14038.308486938477
philippines/family/F1,2026-06-01,14000.0,14003.844073295593
philippines/family/F1,2026-07-01,14000.0,14006.714804649353
philippines/family/F1,2026-08-01,14000.0,14001.731947898865
philippines/family/F1,2026-09-01,14000.0,14002.759530067444
philippines/family/F2B,2024-10-01,13443.0,13442.99983318214
philippines/family/F2B,2024-11-01,13443.0,13442.99983318214
philippines/family/F2B,2024-12-01,13443.0,13442.99983318214
philippines/family/F2B,2025-01-01,13443.0,13442.99983318214
philippines/family/F2B,2025-02-01,13443.0,13442.99983318214
philippines/family/F2B,2025-03-01,13443.0,13442.99983318214
philippines/family/F2B,2025-04-01,13535.0,13442.99983318214
philippines/family/F2B,2025-05-01,13552.0,13565.437259674072
philippines/family/F2B,2025-06-01,13552.0,13567.984080314636
philippines/family/F2B,2025-07-01,13619.0,13551.563051789999
philippines/family/F2B,2025-08-01,13619.0,13633.658880233765
philippines/family/F2B,2025-09-01,13635.0,13614.869712352753
philippines/family/F2B,2025-10-01,13788.0,13645.013605117798
philippines/family/F2B,2025-11-01,13788.0,13811.484922409058
philippines/family/F2B,2025-12-01,13795.0,13790.343088388443
philippines/family/F2B,2026-01-01,13870.0,13801.27240037918
philippines/family/F2B,2026-02-01,13870.0,13914.293380737305
philippines/family/F2B,2026-03-01,13870.0,13867.285911083221
philippines/family/F2B,2026-04-01,13977.0,13874.839880466461
philippines/family/F2B,2026-05-01,13977.0,14019.776531219482
philippines/family/F2B,2026-06-01,13977.0,13982.830178260803
