EB_level,priority_date,visa_bulletin_date,table_type,raw_value,status,visa_wait_time,raw_category
EB3_OW,2019-10-01,2026-01-01 00:00:00,dates_for_filing,01OCT19,F,6.253251197809719,Other Workers
EB4,2021-03-15,2026-01-01 00:00:00,dates_for_filing,15MAR21,F,4.799452429842574,4th
EB4_RW,2021-03-15,2026-01-01 00:00:00,dates_for_filing,15MAR21,F,4.799452429842574,Certain Religious Workers
EB5_HIGHUNEMP,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2016-08-22,2026-01-01 00:00:00,dates_for_filing,22AUG16,F,9.360711841204655,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2023-02-01,2026-01-01 00:00:00,final_action,01FEB23,F,2.915811088295688,1st
EB2,2021-09-01,2026-01-01 00:00:00,final_action,01SEP21,F,4.334017796030117,2nd
EB3,2021-05-01,2026-01-01 00:00:00,final_action,01MAY21,F,4.670773442847365,3rd
EB3_OW,2018-12-08,2026-01-01 00:00:00,final_action,08DEC18,F,7.066392881587953,Other Workers
EB4,2021-01-01,2026-01-01 00:00:00,final_action,01JAN21,F,4.999315537303217,4th
EB4_RW,2021-01-01,2026-01-01 00:00:00,final_action,01JAN21,F,4.999315537303217,Certain Religious Workers
EB5_HIGHUNEMP,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2016-08-15,2026-01-01 00:00:00,final_action,15AUG16,F,9.379876796714578,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2023-05-15,2025-12-01 00:00:00,dates_for_filing,15MAY23,F,2.5489390828199863,1st
EB2,2021-12-01,2025-12-01 00:00:00,dates_for_filing,01DEC21,F,4.0,2nd
EB3,2022-01-01,2025-12-01 00:00:00,dates_for_filing,01JAN22,F,3.915126625598905,3rd
EB3_OW,2018-10-01,2025-12-01 00:00:00,dates_for_filing,01OCT18,F,7.167693360711842,Other Workers
EB4,2021-02-15,2025-12-01 00:00:00,dates_for_filing,15FEB21,F,4.791238877481177,4th
EB4_RW,2021-02-15,2025-12-01 00:00:00,dates_for_filing,15FEB21,F,4.791238877481177,Certain Religious Workers
EB5_HIGHUNEMP,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2016-07-22,2025-12-01 00:00:00,dates_for_filing,22JUL16,F,9.360711841204655,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2023-01-22,2025-12-01 00:00:00,final_action,22JAN23,F,2.858316221765914,1st
EB2,2021-06-01,2025-12-01 00:00:00,final_action,01JUN21,F,4.501026694045175,2nd
EB3,2021-04-01,2025-12-01 00:00:00,final_action,01APR21,F,4.6680355920602326,3rd
EB3_OW,2017-12-08,2025-12-01 00:00:00,final_action,08DEC17,F,7.9808350444900755,Other Workers
EB4,2020-09-01,2025-12-01 00:00:00,final_action,01SEP20,F,5.248459958932238,4th
EB4_RW,2020-09-01,2025-12-01 00:00:00,final_action,01SEP20,F,5.248459958932238,Certain Religious Workers
EB5_HIGHUNEMP,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2016-07-15,2025-12-01 00:00:00,final_action,15JUL16,F,9.379876796714578,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2023-05-15,2025-11-01 00:00:00,dates_for_filing,15MAY23,F,2.4668035592060233,1st
