EB_level,priority_date,visa_bulletin_date,table_type,raw_value,status,visa_wait_time,raw_category
EB3,2023-08-01,2026-04-01 00:00:00,final_action,01AUG23,F,2.6666666666666665,3rd
EB3_OW,2021-11-01,2026-04-01 00:00:00,final_action,01NOV21,F,4.413415468856948,Other Workers
EB4,2022-07-15,2026-04-01 00:00:00,final_action,15JUL22,F,3.7125256673511293,4th
EB4_RW,2022-07-15,2026-04-01 00:00:00,final_action,15JUL22,F,3.7125256673511293,Certain Religious Workers
EB5_HIGHUNEMP,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0,1st
EB2,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0,2nd
EB3,2024-01-01,2026-03-01 00:00:00,dates_for_filing,01JAN24,F,2.16290212183436,3rd
EB3_OW,2022-06-22,2026-03-01 00:00:00,dates_for_filing,22JUN22,F,3.6906228610540723,Other Workers
EB4,2023-01-01,2026-03-01 00:00:00,dates_for_filing,01JAN23,F,3.162217659137577,4th
EB4_RW,2023-01-01,2026-03-01 00:00:00,dates_for_filing,01JAN23,F,3.162217659137577,Certain Religious Workers
EB5_HIGHUNEMP,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0,1st
EB2,2024-10-15,2026-03-01 00:00:00,final_action,15OCT24,F,1.374401095140315,2nd
EB3,2023-08-01,2026-03-01 00:00:00,final_action,01AUG23,F,2.5817932922655715,3rd
EB3_OW,2021-11-01,2026-03-01 00:00:00,final_action,01NOV21,F,4.328542094455853,Other Workers
EB4,2021-07-15,2026-03-01 00:00:00,final_action,15JUL21,F,4.6269678302532515,4th
EB4_RW,2021-07-15,2026-03-01 00:00:00,final_action,15JUL21,F,4.6269678302532515,Certain Religious Workers
EB5_HIGHUNEMP,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0,1st
EB2,2024-10-15,2026-02-01 00:00:00,dates_for_filing,15OCT24,F,1.297741273100616,2nd
EB3,2023-10-01,2026-02-01 00:00:00,dates_for_filing,01OCT23,F,2.3381245722108144,3rd
EB3_OW,2021-12-01,2026-02-01 00:00:00,dates_for_filing,01DEC21,F,4.16974674880219,Other Workers
EB4,2021-03-15,2026-02-01 00:00:00,dates_for_filing,15MAR21,F,4.884325804243669,4th
EB4_RW,,2026-02-01 00:00:00,dates_for_filing,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0,1st
EB2,2024-04-01,2026-02-01 00:00:00,final_action,01APR24,F,1.83709787816564,2nd
EB3,2023-06-01,2026-02-01 00:00:00,final_action,01JUN23,F,2.6721423682409307,3rd
EB3_OW,2021-09-01,2026-02-01 00:00:00,final_action,01SEP21,F,4.418891170431212,Other Workers
EB4,2021-01-01,2026-02-01 00:00:00,final_action,01JAN21,F,5.084188911704312,4th
EB4_RW,,2026-02-01 00:00:00,final_action,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0,1st
EB2,2024-10-15,2026-01-01 00:00:00,dates_for_filing,15OCT24,F,1.212867898699521,2nd
EB3,2023-07-01,2026-01-01 00:00:00,dates_for_filing,01JUL23,F,2.5051334702258727,3rd
EB3_OW,2021-12-01,2026-01-01 00:00:00,dates_for_filing,01DEC21,F,4.084873374401095,Other Workers
EB4,2021-03-15,2026-01-01 00:00:00,dates_for_filing,15MAR21,F,4.799452429842574,4th
EB4_RW,2021-03-15,2026-01-01 00:00:00,dates_for_filing,15MAR21,F,4.799452429842574,Certain Religious Workers
EB5_HIGHUNEMP,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0,1st
EB2,2024-04-01,2026-01-01 00:00:00,final_action,01APR24,F,1.7522245037645447,2nd
EB3,2023-04-22,2026-01-01 00:00:00,final_action,22APR23,F,2.6967830253251197,3rd
